职位分类,关键词,工作名称,公司名称,地区,学历,薪资,经验要求,公司性质,公司规模,工作类型
其他计算机职位,计算机,计算机与财务融合专员,陕西鸿信会计师事务所有限责任公司,西安,本科,4000-8000,1-3年,其它,100-299人,全职
其他计算机职位,计算机,计算机整机组装技术员,,西安,本科,4000-6000,1-3年,民营,,全职
其他计算机职位,计算机,计算机安全管理员,陕西鸿信会计师事务所有限责任公司,西安,大专,5000-7000,1-3年,民营,20-99人,全职
其他计算机职位,计算机,计算机硬件维护工程师网络客服,西安恒基光电科技有限责任公司,西安,大专,8000-9000,1-3年,上市公司,,全职
其他计算机职位,计算机,专利代理人（电学/通信/计算机/机械）,,西安,大专,7000-14000,1-3年,民营,100-299人,全职
其他计算机职位,计算机,急招电脑/计算机维修月入1.5W+单量多可小白 西安,西安恒基光电科技有限责任公司,西安,大专,8000-13000,无经验,民营,,全职
其他计算机职位,计算机,计算机二级讲师,北京雷格讯电子股份有限公司,北京,本科,1500-3000,1-3年,民营,1000-9999人,全职
其他计算机职位,计算机,计算机设备维护专员,,西安,本科,5000-7000,无经验,民营,,全职
其他计算机职位,计算机,计算机信息类专业教师,北京雷格讯电子股份有限公司,北京,本科,6000-10000,无经验,民营,100-299人,全职
其他计算机职位,计算机,计算机安全保密管理员,恒银金融科技股份有限公司,西安,本科,6000-8000,5-10年,民营,,全职
其他计算机职位,计算机,计算机二级讲师,,西安,不限,1000-2000,无经验,民营,1000-9999人,全职
其他计算机职位,计算机,计算机硬件维护工程师和销售主管,恒银金融科技股份有限公司,西安,不限,7000-8000,1-3年,上市公司,,全职
其他计算机职位,计算机,计算机硬件维护专员,北京国昊天诚知识产权代理有限公司,北京,本科,5000-8000,无经验,民营,20-99人,兼职/临时
其他计算机职位,计算机,网络及计算机硬件维护工程师,,西安,本科,7000-9000,1-3年,上市公司,,兼职/临时
其他计算机职位,计算机,计算机硬件维护工程师,北京国昊天诚知识产权代理有限公司,北京,大专,13000-14000,1年以下,上市公司,20-99人,全职
其他计算机职位,计算机,AI工程师-计算机视觉、自然语言处理、大模型（华为26届校招）,重庆啄木鸟网络科技有限公司,重庆,大专,,无经验,民营,,全职
其他计算机职位,计算机,计算机代课教师,,西安,硕士,4000-8000,1-3年,民营,500-999人,全职
其他计算机职位,计算机,计算机高级工程师,重庆啄木鸟网络科技有限公司,重庆,硕士,10000-13000,3-5年,民营,,全职
其他计算机职位,计算机,加固计算机产品经理,西安市新城区青鸟职业技能培训学校有限公司,西安,本科,10000-20000,3-5年,其它,20-99人,全职
其他计算机职位,计算机,招普工/操作工 月入8000（提供低价住宿 包住）,,西安,本科,6000-8000,1-3年,,,全职
其他计算机职位,计算机,国内专利代理人（计算机/通讯/半导体）,北京弘权知识产权代理有限公司,北京,本科,8000-12000,1-3年,民营,20-99人,全职
其他计算机职位,计算机,计算机硬件工程师 4K-8K,,西安,本科,4000-8000,无经验,民营,,全职
其他计算机职位,计算机,计算机视觉算法工程师,北京弘权知识产权代理有限公司,北京,大专,15000-25000,3-5年,股份制企业,20人以下,全职
其他计算机职位,计算机,计算机类高校教师,西安埔和科技有限公司,西安,大专,8000-11000,无经验,学校/下级学院,,全职
其他计算机职位,计算机,计算机教师,,西安,硕士,3001-6000,无经验,学校/下级学院,100-299人,全职
其他计算机职位,计算机,计算机数值仿真工程师,西安埔和科技有限公司,西安,硕士,8000-12000,无经验,股份制企业,,全职
其他计算机职位,计算机,计算机类，电子信息类，航空航天类等专任教师,陕西海嵘工程科技集团股份有限公司,西安,硕士,8000-13000,无经验,学校/下级学院,500-999人,全职
其他计算机职位,计算机,计算机视觉算法工程师,,西安,硕士,8000-16000,1-3年,民营,,全职
其他计算机职位,计算机,计算机类教师（工作地点泾阳校区）,陕西海嵘工程科技集团股份有限公司,西安,本科,5000-8000,无经验,民营,300-499人,兼职/临时
其他计算机职位,计算机,408计算机老师（文都考研）,西安明德理工学院,西安,本科,6001-10000,3-5年,股份制企业,,兼职/临时
其他计算机职位,计算机,计算机销售工程师,,西安,硕士,8000-16000,无经验,民营,20-99人,全职
其他计算机职位,计算机,计算机软件开发工程师,西安明德理工学院,西安,硕士,10000-20000,3-5年,民营,,全职
其他计算机职位,计算机,销售客服（智能计算机销售+双休+三桥地铁口）,西安轨道交通技师学院,西安,硕士,5000-9000,1-3年,民营,500-999人,全职
其他计算机职位,计算机,计算机服务器销售,,西安,硕士,7000-14000,无经验,民营,,全职
其他计算机职位,计算机,文员4000（纯电脑操作员）五险一金,西安轨道交通技师学院,西安,本科,4000-5000,无经验,民营,20-99人,全职
其他计算机职位,计算机,计算机销售经理（三桥地铁口+双休+轻松地工作氛围）,西安马克医疗科技有限公司,西安,本科,6000-9000,1-3年,民营,,全职
其他计算机职位,计算机,清闲整整资料电脑打字文职 双休交社保,,西安,硕士,4000-7000,无经验,上市公司,10000人以上,全职
其他计算机职位,计算机,光伏电站运维人员,西安马克医疗科技有限公司,西安,硕士,5000-8000,无经验,,,全职
其他计算机职位,计算机,手机电脑 闲聊 不露脸,西安信息职业大学,西安,硕士,9000-16000,无经验,,1000-9999人,兼职/临时
其他计算机职位,计算机,京东直招手机电脑维修工程师 六险一金6k-9k,,西安,硕士,5000-6000,1-3年,合资,,兼职/临时
其他计算机职位,计算机,急招普工/操作工-月入6000（热水器-包住）,陕西中锐志诚人力资源有限公司,西安,不限,4000-6000,无经验,,300-499人,全职
其他计算机职位,计算机,曲江京东MALL店员-惠普电脑,西安秦明光电仪器厂,西安,不限,5000-7000,无经验,股份制企业,,全职
其他计算机职位,计算机,居家客服（需电脑，无需个人电话）,陕西中锐志诚人力资源有限公司,西安,不限,2000-4000,无经验,合资,20-99人,全职
其他计算机职位,计算机,招普工/操作工 餐补,北京易微管理咨询有限公司,北京,不限,4000-5000,无经验,民营,,全职
其他计算机职位,计算机,金都电脑导购,,西安,中专/中技,6000-8000,1-3年,,10000人以上,兼职/临时
其他计算机职位,计算机,居家客服（需电脑，无需个人电话）,北京易微管理咨询有限公司,北京,中专/中技,2000-4000,无经验,合资,,兼职/临时
其他计算机职位,计算机,软件助教,京东集团,西安,不限,4000-7000,无经验,股份制企业,20-99人,全职
其他计算机职位,计算机,应届毕业生招聘,,西安,不限,11000-17000,无经验,国企,,全职
其他计算机职位,计算机,居家客服（需电脑，无需个人电话）,京东集团,西安,不限,2000-4000,无经验,合资,100-299人,全职
其他计算机职位,计算机,战略合作经理,陕西弘丰人力资源服务有限公司,西安,不限,8000-10000,3-5年,国企,,全职
其他计算机职位,计算机,电脑渠道销售+双休,,西安,中专/中技,4000-8000,1-3年,民营,10000人以上,兼职/临时
人工智能工程师,人工智能,人工智能课程销售顾问,西安揽星河教育科技有限公司,西安,不限,4000-8000,无经验,民营,20人以下,全职
人工智能工程师,人工智能,月薪5K-7K 人工智能企业直签 每天接听35个电话,,西安,不限,5000-7000,无经验,民营,,全职
人工智能工程师,人工智能,Ai人工智能教育,西安揽星河教育科技有限公司,西安,大专,12000-24000,1-3年,,1000-9999人,全职
人工智能工程师,人工智能,机器人人工智能算法工程师,河北佰绍电子科技有限公司柳州分公司,西安,大专,21000-25000,1-3年,民营,,全职
人工智能工程师,人工智能,人工智能开发,某互联网公司,西安,不限,14000-20000,3-5年,国企,20人以下,全职
人工智能工程师,人工智能,人工智能工程师/算法工程师,河北佰绍电子科技有限公司柳州分公司,西安,不限,9000-18000,1-3年,民营,,全职
人工智能工程师,人工智能,人工智能专家,西安雅杰动力企业管理咨询有限公司,西安,本科,30000-60000,10年以上,民营,20-99人,全职
人工智能工程师,人工智能,sass软件销售/ai人工智能（可接受应届生）,,西安,本科,8000-15000,无经验,民营,,全职
人工智能工程师,人工智能,人工智能大学讲师,西安雅杰动力企业管理咨询有限公司,西安,本科,8000-12000,5-10年,股份制企业,100-299人,全职
人工智能工程师,人工智能,人工智能讲师,陕西安悦智能科技集团有限公司,西安,本科,14000-25000,5-10年,上市公司,,全职
人工智能工程师,人工智能,人工智能课程顾问,,西安,本科,7000-12000,3-5年,股份制企业,20-99人,全职
